article,question,question_chars,question_words
╨á╨╕╤ü╨║ ╨╝╨░╨╜╨╕╨┐╤â╨╗╤Å╤å╨╕╨╕╠å ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,**Какие действия брокера могут быть расценены как попытка манипулирования рынком?**,83,10
╨á╨╕╤ü╨║ ╨╝╨░╨╜╨╕╨┐╤â╨╗╤Å╤å╨╕╨╕╠å ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,**Как можно избежать привлечения внимания брокера и Центробанка к своим действиям на бирже?**,93,13
╨á╨╕╤ü╨║ ╨╝╨░╨╜╨╕╨┐╤â╨╗╤Å╤å╨╕╨╕╠å ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,"**Какие последствия могут быть у инвестора, если его действия будут квалифицированы как манипулирование рынком?**",113,14
╨á╨╕╤ü╨║ ╨╝╨░╨╜╨╕╨┐╤â╨╗╤Å╤å╨╕╨╕╠å ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,**Какие советы помогут инвестору не стать участником манипуляций на бирже?**,76,10
╨º╤é╨╛ ╨┐╤Ç╨╛╨╕╤ü╤à╨╛╨┤╨╕╤é ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡: ╨▓╨░╨╢╨╜╨░╤Å ╨╕╨╜╤ä╨╛╤Ç╨╝╨░╤å╨╕╤Å ╨┤╨╗╤Å ╨║╨╗╨╕╨╡╨╜╤é╨╛╨▓ ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Какие иностранные ценные бумаги временно не торгуются на бирже из-за санкций?**,81,11
╨º╤é╨╛ ╨┐╤Ç╨╛╨╕╤ü╤à╨╛╨┤╨╕╤é ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡: ╨▓╨░╨╢╨╜╨░╤Å ╨╕╨╜╤ä╨╛╤Ç╨╝╨░╤å╨╕╤Å ╨┤╨╗╤Å ╨║╨╗╨╕╨╡╨╜╤é╨╛╨▓ ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Какие валюты можно торговать на бирже сейчас?**,49,7
╨º╤é╨╛ ╨┐╤Ç╨╛╨╕╤ü╤à╨╛╨┤╨╕╤é ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡: ╨▓╨░╨╢╨╜╨░╤Å ╨╕╨╜╤ä╨╛╤Ç╨╝╨░╤å╨╕╤Å ╨┤╨╗╤Å ╨║╨╗╨╕╨╡╨╜╤é╨╛╨▓ ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Как можно получить компенсацию дивидендов по заблокированным иностранным акциям?**,84,9
╨º╤é╨╛ ╨┐╤Ç╨╛╨╕╤ü╤à╨╛╨┤╨╕╤é ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡: ╨▓╨░╨╢╨╜╨░╤Å ╨╕╨╜╤ä╨╛╤Ç╨╝╨░╤å╨╕╤Å ╨┤╨╗╤Å ╨║╨╗╨╕╨╡╨╜╤é╨╛╨▓ ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Можно ли продать заблокированные иностранные бумаги по указу № 844?**,71,10
╨º╤é╨╛ ╨┐╤Ç╨╛╨╕╤ü╤à╨╛╨┤╨╕╤é ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡: ╨▓╨░╨╢╨╜╨░╤Å ╨╕╨╜╤ä╨╛╤Ç╨╝╨░╤å╨╕╤Å ╨┤╨╗╤Å ╨║╨╗╨╕╨╡╨╜╤é╨╛╨▓ ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕╠å,**Какие риски связаны с торговлей иностранными акциями и валютами?**,68,9
╨₧╨▒╨╗╨╕╨│╨░╤å╨╕╨╕ ╤ü╨╛ ╤ü╤é╤Ç╤â╨║╤é╤â╤Ç╨╜╤ï╨╝ ╨┤╨╛╤à╨╛╨┤╨╛╨╝,**Что такое облигация со структурным доходом и как она отличается от обычной облигации?**,89,13
╨₧╨▒╨╗╨╕╨│╨░╤å╨╕╨╕ ╤ü╨╛ ╤ü╤é╤Ç╤â╨║╤é╤â╤Ç╨╜╤ï╨╝ ╨┤╨╛╤à╨╛╨┤╨╛╨╝,**Какие риски связаны с облигациями со структурным доходом?**,61,8
╨₧╨▒╨╗╨╕╨│╨░╤å╨╕╨╕ ╤ü╨╛ ╤ü╤é╤Ç╤â╨║╤é╤â╤Ç╨╜╤ï╨╝ ╨┤╨╛╤à╨╛╨┤╨╛╨╝,**Какова структура выплаты дохода по облигации со структурным доходом при ее погашении?**,89,12
╨₧╨▒╨╗╨╕╨│╨░╤å╨╕╨╕ ╤ü╨╛ ╤ü╤é╤Ç╤â╨║╤é╤â╤Ç╨╜╤ï╨╝ ╨┤╨╛╤à╨╛╨┤╨╛╨╝,**Какие виды купонного дохода могут быть у облигаций со структурным доходом?**,78,11
╨₧╨▒╨╗╨╕╨│╨░╤å╨╕╨╕ ╤ü╨╛ ╤ü╤é╤Ç╤â╨║╤é╤â╤Ç╨╜╤ï╨╝ ╨┤╨╛╤à╨╛╨┤╨╛╨╝,**Почему облигации со структурным доходом могут быть менее привлекательными по сравнению с обычными облигациями?**,114,14
╨ó╤Ç╨╡╨╕╠å╨┤╨╕╨╜╨│ ╨╕ ╤é╨╡╤à╨╜╨╕╤ç╨╡╤ü╨║╨╕╨╕╠å ╨░╨╜╨░╨╗╨╕╨╖,Что такое технический анализ и какие методы анализа графиков существуют?,72,10
╨ó╤Ç╨╡╨╕╠å╨┤╨╕╨╜╨│ ╨╕ ╤é╨╡╤à╨╜╨╕╤ç╨╡╤ü╨║╨╕╨╕╠å ╨░╨╜╨░╨╗╨╕╨╖,Что такое скользящие средние (MA и EMA) и как они используются в трейдинге?,75,13
╨ó╤Ç╨╡╨╕╠å╨┤╨╕╨╜╨│ ╨╕ ╤é╨╡╤à╨╜╨╕╤ç╨╡╤ü╨║╨╕╨╕╠å ╨░╨╜╨░╨╗╨╕╨╖,Что такое индикатор MACD и как он используется в трейдинге?,59,10
╨ó╤Ç╨╡╨╕╠å╨┤╨╕╨╜╨│ ╨╕ ╤é╨╡╤à╨╜╨╕╤ç╨╡╤ü╨║╨╕╨╕╠å ╨░╨╜╨░╨╗╨╕╨╖,Что такое индикатор RSI и как он используется в трейдинге?,58,10
╨¢╤î╨│╨╛╤é╨░ ╨╜╨░ ╨┤╨╛╨╗╨│╨╛╤ü╤Ç╨╛╤ç╨╜╨╛╨╡ ╨▓╨╗╨░╨┤╨╡╨╜╨╕╨╡ ╤å╨╡╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕ (╨¢╨ö╨Æ),**Что такое налоговый вычет за долгосрочное владение ценными бумагами (ЛДВ)?**,78,10
╨¢╤î╨│╨╛╤é╨░ ╨╜╨░ ╨┤╨╛╨╗╨│╨╛╤ü╤Ç╨╛╤ç╨╜╨╛╨╡ ╨▓╨╗╨░╨┤╨╡╨╜╨╕╨╡ ╤å╨╡╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕ (╨¢╨ö╨Æ),**Как получить налоговый вычет за долгосрочное владение ценными бумагами?**,75,9
╨¢╤î╨│╨╛╤é╨░ ╨╜╨░ ╨┤╨╛╨╗╨│╨╛╤ü╤Ç╨╛╤ç╨╜╨╛╨╡ ╨▓╨╗╨░╨┤╨╡╨╜╨╕╨╡ ╤å╨╡╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕ (╨¢╨ö╨Æ),**Какие ценные бумаги попадают под льготу долгосрочного владения?**,67,8
╨¢╤î╨│╨╛╤é╨░ ╨╜╨░ ╨┤╨╛╨╗╨│╨╛╤ü╤Ç╨╛╤ç╨╜╨╛╨╡ ╨▓╨╗╨░╨┤╨╡╨╜╨╕╨╡ ╤å╨╡╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕ (╨¢╨ö╨Æ),**Как считается срок владения бумагой для вычета?**,51,7
╨¢╤î╨│╨╛╤é╨░ ╨╜╨░ ╨┤╨╛╨╗╨│╨╛╤ü╤Ç╨╛╤ç╨╜╨╛╨╡ ╨▓╨╗╨░╨┤╨╡╨╜╨╕╨╡ ╤å╨╡╨╜╨╜╤ï╨╝╨╕ ╨▒╤â╨╝╨░╨│╨░╨╝╨╕ (╨¢╨ö╨Æ),**Какую сумму можно освободить от налога с помощью трехлетней льготы?**,71,10
╨ó╨╛╤Ç╨│╨╕ ╤ä╨╛╨╜╨┤╨░╨╝╨╕ ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,"**Что происходит с валютными Инвесткопилками, в которых заблокированы активы?**",79,9
╨ó╨╛╤Ç╨│╨╕ ╤ä╨╛╨╜╨┤╨░╨╝╨╕ ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Почему фонды TUSD2 и TEUR2 не торгуются на бирже?**,53,9
╨ó╨╛╤Ç╨│╨╕ ╤ä╨╛╨╜╨┤╨░╨╝╨╕ ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Когда иностранные активы фондов будут разблокированы?**,57,6
╨ó╨╛╤Ç╨│╨╕ ╤ä╨╛╨╜╨┤╨░╨╝╨╕ ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Как изменилась расчетная стоимость ЗПИФов с заблокированными активами?**,74,8
╨ó╨╛╤Ç╨│╨╕ ╤ä╨╛╨╜╨┤╨░╨╝╨╕ ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие фонды разделились на две части в октябре 2024 года?**,61,10
╨ƒ╤Ç╨╛╨┤╨░╨╢╨░ ╨╖╨░╨▒╨╗╨╛╨║╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╤à ╨╕╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│ ╨▓ ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Какие активы можно продать в рамках программы по указу № 844?**,65,11
╨ƒ╤Ç╨╛╨┤╨░╨╢╨░ ╨╖╨░╨▒╨╗╨╛╨║╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╤à ╨╕╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│ ╨▓ ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Какие этапы прошли инвесторы в рамках программы по указу № 844?**,67,11
╨ƒ╤Ç╨╛╨┤╨░╨╢╨░ ╨╖╨░╨▒╨╗╨╛╨║╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╤à ╨╕╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│ ╨▓ ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Какие способы продажи заблокированных активов существуют?**,61,6
╨ƒ╤Ç╨╛╨┤╨░╨╢╨░ ╨╖╨░╨▒╨╗╨╛╨║╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╤à ╨╕╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│ ╨▓ ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Можно ли подать новые заявки на продажу заблокированных активов после завершения программы указа № 844?**,107,15
╨ƒ╤Ç╨╛╨┤╨░╨╢╨░ ╨╖╨░╨▒╨╗╨╛╨║╨╕╤Ç╨╛╨▓╨░╨╜╨╜╤ï╤à ╨╕╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│ ╨▓ ╨óΓÇæ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Какие категории инвесторов могут участвовать в программе по указу № 844?**,76,11
╨ƒ╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,Что такое автоследование в Т⁠-⁠Инвестициях?,43,5
╨ƒ╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,Кто может быть автором стратегии в автоследовании?,50,7
╨ƒ╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,Как технически выглядит автоследование?,39,4
╨ƒ╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,Какие риски существуют в автоследовании?,40,5
╨ƒ╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,Как подключить и отключить автоследование в Т⁠-⁠Инвестициях?,60,7
╨ñ╤î╤Ä╤ç╨╡╤Ç╤ü╤ï ╨╕ ╨╛╨┐╤å╨╕╨╛╨╜╤ï,Что такое фьючерсы и опционы?,29,5
╨ñ╤î╤Ä╤ç╨╡╤Ç╤ü╤ï ╨╕ ╨╛╨┐╤å╨╕╨╛╨╜╤ï,Какие бывают типы фьючерсов?,28,4
╨ñ╤î╤Ä╤ç╨╡╤Ç╤ü╤ï ╨╕ ╨╛╨┐╤å╨╕╨╛╨╜╤ï,Какие риски связаны с торговлей фьючерсами?,43,6
╨ñ╤î╤Ä╤ç╨╡╤Ç╤ü╤ï ╨╕ ╨╛╨┐╤å╨╕╨╛╨╜╤ï,В чем отличие опциона от фьючерса?,34,6
╨ñ╤î╤Ä╤ç╨╡╤Ç╤ü╤ï ╨╕ ╨╛╨┐╤å╨╕╨╛╨╜╤ï,Какие риски связаны с торговлей опционами?,42,6
╨ñ╨╛╨╜╨┤╤ï ╨╜╨╡╨┤╨▓╨╕╨╢╨╕╨╝╨╛╤ü╤é╨╕ ╨╛╤é ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие фонды недвижимости предлагает Т‑Капитал и какова их основная стратегия?**,81,10
╨ñ╨╛╨╜╨┤╤ï ╨╜╨╡╨┤╨▓╨╕╨╢╨╕╨╝╨╛╤ü╤é╨╕ ╨╛╤é ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какая минимальная сумма требуется для инвестирования в фонды недвижимости Т‑Капитала?**,89,10
╨ñ╨╛╨╜╨┤╤ï ╨╜╨╡╨┤╨▓╨╕╨╢╨╕╨╝╨╛╤ü╤é╨╕ ╨╛╤é ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие особенности торгов паями фондов недвижимости Т‑Капитала?**,66,7
╨ñ╨╛╨╜╨┤╤ï ╨╜╨╡╨┤╨▓╨╕╨╢╨╕╨╝╨╛╤ü╤é╨╕ ╨╛╤é ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Что такое налог на материальную выгоду и как он рассчитывается при покупке паев ЗПИФн?**,90,14
╨ñ╨╛╨╜╨┤╤ï ╨╜╨╡╨┤╨▓╨╕╨╢╨╕╨╝╨╛╤ü╤é╨╕ ╨╛╤é ╨óΓÇæ╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие документы и действия необходимы для покупки паев ЗПИФн?**,65,9
╨Ü╨░╨║ ╤ä╨╕╨╖╨╗╨╕╤å╤â ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨╛╤é╤ç╨╡╤é ╨╛ ╨┤╨▓╨╕╨╢╨╡╨╜╨╕╨╕ ╤ü╤Ç╨╡╨┤╤ü╤é╨▓ ╨┐╨╛ ╨╖╨░╤Ç╤â╨▒╨╡╨╢╨╜╨╛╨╝╤â ╤ü╤ç╨╡╤é╤â,**Какие категории лиц обязаны подавать отчет о движении средств по зарубежному счету?**,87,12
╨Ü╨░╨║ ╤ä╨╕╨╖╨╗╨╕╤å╤â ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨╛╤é╤ç╨╡╤é ╨╛ ╨┤╨▓╨╕╨╢╨╡╨╜╨╕╨╕ ╤ü╤Ç╨╡╨┤╤ü╤é╨▓ ╨┐╨╛ ╨╖╨░╤Ç╤â╨▒╨╡╨╢╨╜╨╛╨╝╤â ╤ü╤ç╨╡╤é╤â,**Какие страны исключают необходимость подачи отчета о движении средств по зарубежному счету?**,95,12
╨Ü╨░╨║ ╤ä╨╕╨╖╨╗╨╕╤å╤â ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨╛╤é╤ç╨╡╤é ╨╛ ╨┤╨▓╨╕╨╢╨╡╨╜╨╕╨╕ ╤ü╤Ç╨╡╨┤╤ü╤é╨▓ ╨┐╨╛ ╨╖╨░╤Ç╤â╨▒╨╡╨╢╨╜╨╛╨╝╤â ╤ü╤ç╨╡╤é╤â,**Как заполнить отчет о движении средств по зарубежному счету через личный кабинет налогоплательщика?**,103,13
╨Ü╨░╨║ ╤ä╨╕╨╖╨╗╨╕╤å╤â ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨╛╤é╤ç╨╡╤é ╨╛ ╨┤╨▓╨╕╨╢╨╡╨╜╨╕╨╕ ╤ü╤Ç╨╡╨┤╤ü╤é╨▓ ╨┐╨╛ ╨╖╨░╤Ç╤â╨▒╨╡╨╢╨╜╨╛╨╝╤â ╤ü╤ç╨╡╤é╤â,**Какие документы могут потребоваться при подаче отчета о движении средств по зарубежному счету?**,98,13
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╜╨░ ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨░,**Что такое Инвесткопилка и как она работает?**,47,7
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╜╨░ ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨░,**Чем Инвесткопилка отличается от накопительного и брокерского счетов?**,72,8
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╜╨░ ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨░,**Какая может быть доходность по Инвесткопилке?**,49,6
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╜╨░ ╨ÿ╨╜╨▓╨╡╤ü╤é╨║╨╛╨┐╨╕╨╗╨║╨░,**Какие стратегии инвестирования доступны в Инвесткопилке?**,60,6
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Что такое брокерский счет и для чего он нужен?**,50,9
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Как начать инвестировать с минимальными вложениями?**,55,6
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Чем брокерский счет отличается от счета депо?**,49,7
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Какие дополнительные возможности предоставляет брокерский счет в Т-Инвестициях?**,83,8
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Застрахованы ли деньги на брокерском счете?**,47,6
"╨₧╨▒╨╗╨╕╨│╨░╤å╨╕╨╕, ╨╛╨▒╨╡╤ü╨┐╨╡╤ç╨╡╨╜╨╜╤ï╨╡ ╨╖╨░╨╗╨╛╨│╨╛╨╝ ╨┤╨╡╨╜╨╡╨╢╨╜╤ï╤à ╤é╤Ç╨╡╨▒╨╛╨▓╨░╨╜╨╕╨╕╠å","**Что такое облигации, обеспеченные залогом денежных требований?**",66,7
"╨₧╨▒╨╗╨╕╨│╨░╤å╨╕╨╕, ╨╛╨▒╨╡╤ü╨┐╨╡╤ç╨╡╨╜╨╜╤ï╨╡ ╨╖╨░╨╗╨╛╨│╨╛╨╝ ╨┤╨╡╨╜╨╡╨╢╨╜╤ï╤à ╤é╤Ç╨╡╨▒╨╛╨▓╨░╨╜╨╕╨╕╠å",**Какие денежные требования могут обеспечивать облигации?**,59,6
"╨₧╨▒╨╗╨╕╨│╨░╤å╨╕╨╕, ╨╛╨▒╨╡╤ü╨┐╨╡╤ç╨╡╨╜╨╜╤ï╨╡ ╨╖╨░╨╗╨╛╨│╨╛╨╝ ╨┤╨╡╨╜╨╡╨╢╨╜╤ï╤à ╤é╤Ç╨╡╨▒╨╛╨▓╨░╨╜╨╕╨╕╠å","**Как работают облигации, обеспеченные залогом денежных требований?**",69,7
"╨₧╨▒╨╗╨╕╨│╨░╤å╨╕╨╕, ╨╛╨▒╨╡╤ü╨┐╨╡╤ç╨╡╨╜╨╜╤ï╨╡ ╨╖╨░╨╗╨╛╨│╨╛╨╝ ╨┤╨╡╨╜╨╡╨╢╨╜╤ï╤à ╤é╤Ç╨╡╨▒╨╛╨▓╨░╨╜╨╕╨╕╠å","**Какие риски связаны с облигациями, обеспеченными залогом денежных требований?**",81,9
"╨₧╨▒╨╗╨╕╨│╨░╤å╨╕╨╕, ╨╛╨▒╨╡╤ü╨┐╨╡╤ç╨╡╨╜╨╜╤ï╨╡ ╨╖╨░╨╗╨╛╨│╨╛╨╝ ╨┤╨╡╨╜╨╡╨╢╨╜╤ï╤à ╤é╤Ç╨╡╨▒╨╛╨▓╨░╨╜╨╕╨╕╠å","**Кто может выпускать облигации, обеспеченные залогом денежных требований?**",76,8
╨Ü╨░╨║ ╨┐╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╕ ╨╛╤é╨║╨╗╤Ä╤ç╨╕╤é╤î ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Как подключить автоследование в Т‑Инвестициях?**,50,5
╨Ü╨░╨║ ╨┐╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╕ ╨╛╤é╨║╨╗╤Ä╤ç╨╕╤é╤î ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Какие комиссии и условия тарифа действуют при автоследовании в Т‑Инвестициях?**,81,10
╨Ü╨░╨║ ╨┐╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╕ ╨╛╤é╨║╨╗╤Ä╤ç╨╕╤é╤î ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Как отключить автоследование в Т‑Инвестициях?**,49,5
╨Ü╨░╨║ ╨┐╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╕ ╨╛╤é╨║╨╗╤Ä╤ç╨╕╤é╤î ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Какие ограничения существуют при автоследовании на действующем счете?**,73,8
╨Ü╨░╨║ ╨┐╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╕ ╨╛╤é╨║╨╗╤Ä╤ç╨╕╤é╤î ╨░╨▓╤é╨╛╤ü╨╗╨╡╨┤╨╛╨▓╨░╨╜╨╕╨╡ ╨▓ ╨óΓüá-Γüá╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╤à,**Как вывести деньги со счета с подключенным автоследованием?**,63,8
╨Ü╨░╨║ ╨▓╤ï╨▓╨╡╤ü╤é╨╕ ╨┤╨╡╨╜╤î╨│╨╕ ╤ü ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╛╨│╨╛ ╤ü╤ç╨╡╤é╨░,**Как вывести деньги с брокерского счета на дебетовую карту Т‑Банка?**,70,10
╨Ü╨░╨║ ╨▓╤ï╨▓╨╡╤ü╤é╨╕ ╨┤╨╡╨╜╤î╨│╨╕ ╤ü ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╛╨│╨╛ ╤ü╤ç╨╡╤é╨░,**Почему при выводе денег с брокерского счета списывается налог?**,66,9
╨Ü╨░╨║ ╨▓╤ï╨▓╨╡╤ü╤é╨╕ ╨┤╨╡╨╜╤î╨│╨╕ ╤ü ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╛╨│╨╛ ╤ü╤ç╨╡╤é╨░,**Как вывести валюту с брокерского счета на дебетовую карту?**,62,9
╨Ü╨░╨║ ╨▓╤ï╨▓╨╡╤ü╤é╨╕ ╨┤╨╡╨╜╤î╨│╨╕ ╤ü ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╛╨│╨╛ ╤ü╤ç╨╡╤é╨░,"**Как получать дивиденды на карту, а не на брокерский счет?**",61,10
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╤ä╤î╤Ä╤ç╨╡╤Ç╤ü╨░╨╝╨╕,Что такое фьючерс и для чего он нужен?,38,8
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╤ä╤î╤Ä╤ç╨╡╤Ç╤ü╨░╨╝╨╕,Что нужно сделать перед покупкой фьючерса?,42,6
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╤ä╤î╤Ä╤ç╨╡╤Ç╤ü╨░╨╝╨╕,Как купить и продать фьючерс?,29,5
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╤ä╤î╤Ä╤ç╨╡╤Ç╤ü╨░╨╝╨╕,Сколько стоит торговля фьючерсами?,34,4
